iter	RMSE
0	14.64219762
1	14.29956523
2	13.92586668
3	13.59084121
4	13.2985831
5	13.01396898
6	12.76590133
7	12.51961536
8	12.2766644
9	12.02496817
10	11.75932969
11	11.4804364
12	11.22751474
13	10.98735168
14	10.77869728
15	10.55310996
16	10.35192625
17	10.14214778
18	9.931539572
19	9.744254557
20	9.557694879
21	9.380926462
22	9.257135965
23	9.092772074
24	8.960853002
25	8.817244989
26	8.67439983
27	8.525954521
28	8.394674438
29	8.283811651
30	8.183155185
31	8.071778097
32	7.969352148
33	7.877625302
34	7.773846468
35	7.681437517
36	7.58778208
37	7.511466352
38	7.429302922
39	7.355578141
40	7.277788623
41	7.20731498
42	7.134381152
43	7.06430736
44	6.998336771
45	6.931228307
46	6.860973961
47	6.816107981
48	6.764600299
49	6.713850534
50	6.663802817
51	6.618714726
52	6.569783789
53	6.52229446
54	6.476945014
55	6.438251437
56	6.40401699
57	6.370890806
58	6.333037164
59	6.298131251
60	6.269492622
61	6.238489591
62	6.212178416
63	6.182250672
64	6.151812051
65	6.120691869
66	6.093132904
67	6.070943106
68	6.050662848
69	6.029723924
70	6.006635267
71	5.986474904
72	5.963375681
73	5.947210953
74	5.929290772
75	5.915153331
76	5.896692156
77	5.882745386
78	5.864057855
79	5.844976308
80	5.829556848
81	5.813582241
82	5.799666496
83	5.783715087
84	5.772137544
85	5.760318028
86	5.746159465
87	5.734938448
88	5.719675414
89	5.709169325
90	5.701420727
91	5.687961408
92	5.676126387
93	5.662735438
94	5.64664293
95	5.638210184
96	5.630986126
97	5.620489128
98	5.608950085
99	5.599247437
100	5.589621723
101	5.578556545
102	5.568981353
103	5.562640846
104	5.549238226
105	5.543878291
106	5.536408265
107	5.522321871
108	5.517296677
109	5.509740932
110	5.50120022
111	5.493006236
112	5.484034292
113	5.474363793
114	5.4688994
115	5.462971236
116	5.456777537
117	5.450825962
118	5.446518184
119	5.440106487
120	5.434310691
121	5.425777493
122	5.420220414
123	5.41110276
124	5.405292733
125	5.401188354
126	5.39598698
127	5.391848843
128	5.386561109
129	5.381973318
130	5.376871363
131	5.368824259
132	5.363773586
133	5.358022774
134	5.352497282
135	5.346638651
136	5.342146825
137	5.337581879
138	5.333797601
139	5.330396677
140	5.326957546
141	5.324529354
142	5.319376408
143	5.315747423
144	5.313721964
145	5.308890386
146	5.305588377
147	5.302662889
148	5.300484798
149	5.298780527
150	5.295599354
151	5.289813547
152	5.286563745
153	5.283656159
154	5.282377605
155	5.278057206
156	5.275578884
157	5.271691474
158	5.269681338
159	5.265510901
160	5.263848982
161	5.259300893
162	5.25656313
163	5.254462101
164	5.251393862
165	5.249282742
166	5.244315429
167	5.240810396
168	5.237312759
169	5.233895692
170	5.22874851
171	5.225126961
172	5.223062721
173	5.218143115
174	5.213590907
175	5.210334423
176	5.204531726
177	5.202623959
178	5.200494919
179	5.197230441
180	5.194629424
181	5.193116904
182	5.190739663
183	5.185879469
184	5.183633209
185	5.181336239
186	5.178747149
187	5.177050012
188	5.172344344
189	5.170739149
190	5.168658434
191	5.166763535
192	5.16376409
193	5.162366418
194	5.157493001
195	5.155759728
196	5.152662528
197	5.15106494
198	5.149345286
199	5.145019658
200	5.142106196
201	5.138026856
202	5.136481293
203	5.133336353
204	5.131665363
205	5.126340398
206	5.123296725
207	5.118978266
208	5.115353071
209	5.113866094
210	5.110825605
211	5.108518267
212	5.104951305
213	5.102447832
214	5.100913172
215	5.100070324
216	5.098278085
217	5.094956053
218	5.092996142
219	5.090996398
220	5.089108413
221	5.085014811
222	5.081444601
223	5.08002232
224	5.07847709
225	5.077138555
226	5.074514821
227	5.073704566
228	5.071947071
229	5.071767417
230	5.067288196
231	5.062952092
232	5.061839927
233	5.059462869
234	5.055976488
235	5.053916255
236	5.052853152
237	5.050489107
238	5.047099998
239	5.046007645
240	5.044144606
241	5.042535895
242	5.040235853
243	5.038820624
244	5.035774775
245	5.033277137
246	5.030641286
247	5.026975436
248	5.023549359
249	5.022435431
250	5.01985689
251	5.018231637
252	5.017464174
253	5.016353816
254	5.013271569
255	5.011346711
256	5.008936267
257	5.007736268
258	5.00412787
259	5.002872893
260	5.000106281
261	4.998926859
262	4.996846092
263	4.996065374
264	4.994571333
265	4.991965534
266	4.989819626
267	4.9868083
268	4.983585632
269	4.979913588
270	4.977096614
271	4.972061737
272	4.970237053
273	4.967411505
274	4.96525349
275	4.964907299
276	4.962390953
277	4.958000648
278	4.957290545
279	4.955247903
280	4.95124996
281	4.949563546
282	4.947642539
283	4.9468825
284	4.94589733
285	4.944156041
286	4.941090459
287	4.93717926
288	4.935370535
289	4.934031528
290	4.931962347
291	4.930111507
292	4.927329289
293	4.925913763
294	4.922807801
295	4.921485359
296	4.920732616
297	4.916263475
298	4.914837175
299	4.913923235
300	4.912861804
301	4.910715931
302	4.908953525
303	4.906339081
