iter	Passed	Remaining
0	133	133775
1	135	67365
2	135	45135
3	136	33996
4	137	27325
5	138	22875
6	138	19689
7	139	17300
8	140	15448
9	140	13958
10	141	12738
11	142	11715
12	142	10847
13	143	10111
14	144	9477
15	144	8914
16	145	8417
17	146	7974
18	146	7577
19	147	7220
20	148	6899
21	148	6607
22	149	6340
23	149	6095
24	150	5869
25	151	5663
26	151	5474
27	152	5297
28	153	5132
29	153	4975
30	154	4828
31	155	4690
32	155	4561
33	156	4438
34	156	4322
35	157	4213
36	157	4109
37	158	4017
38	159	3929
39	160	3847
40	161	3767
41	161	3690
42	162	3615
43	163	3545
44	163	3477
45	164	3412
46	165	3349
47	165	3289
48	166	3232
49	167	3175
50	167	3121
51	168	3069
52	168	3018
53	169	2969
54	170	2922
55	170	2877
56	171	2833
57	171	2791
58	172	2751
59	173	2711
60	173	2673
61	174	2636
62	174	2600
63	175	2565
64	176	2532
65	176	2500
66	177	2469
67	177	2437
68	178	2408
69	179	2378
70	179	2350
71	180	2323
72	180	2296
73	181	2270
74	182	2245
75	182	2220
76	183	2195
77	183	2172
78	184	2149
79	184	2126
80	185	2105
81	186	2084
82	186	2060
83	187	2039
84	187	2019
85	188	2000
86	188	1981
87	189	1962
88	190	1945
89	190	1928
90	191	1912
91	192	1896
92	192	1880
93	193	1864
94	194	1848
95	194	1833
96	195	1817
97	195	1802
98	196	1787
99	197	1773
100	197	1759
101	198	1746
102	198	1732
103	199	1718
104	200	1705
105	200	1692
106	201	1679
107	201	1667
108	202	1655
109	203	1643
110	203	1631
111	204	1619
112	204	1607
113	205	1596
114	206	1586
115	206	1576
116	207	1565
117	208	1555
118	208	1544
119	209	1534
120	209	1524
121	210	1514
122	211	1504
123	211	1495
124	212	1486
125	212	1477
126	213	1467
127	214	1458
128	214	1449
129	215	1440
130	215	1431
131	216	1424
132	217	1415
133	217	1407
134	218	1400
135	219	1392
136	219	1384
137	220	1376
138	220	1368
139	221	1361
140	222	1355
